Rank,City,Data (Acres),"Points
/100",Unnamed: 4,Data,"Points
/100.1",Acreage Points/100,Data.1,"Points
/100.2",Data.2,"Points
/100.3",Data.3,"Points
/100.4",Data.4,Points /100,Data.5,Points /100.1,Equity Points/100,Data.6,"Points
/100.5",Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47
35,"Buffalo, NY",1.1,5.0,,9.4%,44.0,25.0,89%,84.0,91%,86.0,90%,83.0,53% less,28.0,21% less,52.0,62.0,$107,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"Jersey City, NJ",0.6,1.0,,11.8%,57.0,29.0,97%,97.0,97%,96.0,98%,97.0,4% less,64.0,3% more,70.0,82.0,$74,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"Boise, ID",7.3,65.0,,8.4%,38.0,52.0,65%,46.0,64%,42.0,70%,50.0,78% less,10.0,67% less,15.0,29.0,$190,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"New Orleans, LA",1.8,12.0,,21.3%,100.0,56.0,80%,70.0,77%,64.0,81%,68.0,46% less,33.0,37% less,39.0,51.0,$123,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"Austin, TX",6.7,60.0,,10.8%,52.0,56.0,70%,54.0,70%,52.0,71%,51.0,28% less,47.0,59% less,22.0,43.0,$178,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"Oakland, CA",2.1,15.0,,14.8%,75.0,45.0,89%,84.0,91%,85.0,92%,87.0,66% less,19.0,78% less,7.0,50.0,$111,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"Virginia Beach, VA",5.0,44.0,,16.4%,83.0,64.0,68%,51.0,70%,52.0,70%,49.0,34% less,42.0,45% less,32.0,44.0,$150,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"Long Beach, CA",2.6,20.0,,10.1%,47.0,34.0,84%,76.0,85%,77.0,88%,81.0,86% less,4.0,86% less,1.0,41.0,$147,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"Honolulu, HI",6.1,54.0,,17.8%,91.0,73.0,71%,57.0,74%,58.0,79%,64.0,34% less,42.0,3% more,70.0,59.0,$98,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"Las Vegas, NV",1.1,6.0,,18.0%,92.0,49.0,75%,62.0,77%,63.0,74%,57.0,6% more,71.0,42% less,35.0,57.0,$67,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"Richmond, VA",4.7,40.0,,6.9%,30.0,35.0,80%,70.0,80%,68.0,82%,70.0,216% more,100.0,85% more,100.0,85.0,$81,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"Omaha, NE",6.7,60.0,,13.2%,65.0,63.0,82%,73.0,84%,74.0,81%,68.0,22% less,51.0,59% less,22.0,54.0,$69,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"Newark, NJ",0.9,3.0,,6.1%,25.0,14.0,94%,91.0,94%,90.0,96%,94.0,45% more,100.0,35% more,95.0,95.0,$74,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"Miami, FL",2.6,20.0,,6.5%,27.0,24.0,87%,81.0,87%,79.0,88%,80.0,32% less,43.0,45% less,33.0,59.0,$98,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,"Toledo, OH",5.7,50.0,,5.9%,24.0,37.0,81%,72.0,87%,79.0,84%,73.0,144% more,100.0,113% more,100.0,88.0,$77,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"Raleigh, NC",6.2,55.0,,12.9%,64.0,60.0,48%,21.0,48%,16.0,51%,17.0,16% less,55.0,28% less,46.0,34.0,$176,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"Norfolk, VA",2.4,18.0,,5.4%,21.0,20.0,75%,62.0,75%,60.0,83%,72.0,46% more,100.0,15% more,80.0,78.0,$66,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"Anchorage, AK",4.7,40.0,,80.3%,100.0,70.0,75%,62.0,80%,68.0,82%,69.0,55% less,27.0,47% less,31.0,49.0,$91,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"Dallas, TX",7.8,70.0,,9.6%,45.0,58.0,73%,59.0,73%,57.0,72%,52.0,40% more,96.0,5% less,64.0,67.0,$109,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,"North Las Vegas, NV",7.1,64.0,,25.9%,100.0,82.0,62%,42.0,64%,43.0,66%,42.0,13% more,77.0,14% more,79.0,60.0,$86,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,"Columbus, OH",7.5,67.0,,10.0%,47.0,57.0,71%,57.0,73%,56.0,73%,55.0,4% more,70.0,25% less,48.0,57.0,$95,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,"Tulsa, OK",9.7,89.0,,6.9%,29.0,59.0,65%,47.0,69%,50.0,71%,50.0,21% more,83.0,12% more,77.0,65.0,$85,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,"Detroit, MI",2.4,18.0,,5.8%,24.0,21.0,83%,75.0,83%,74.0,84%,73.0,42% less,36.0,58% more,100.0,71.0,$82,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,"Colorado Springs, CO",5.7,50.0,,11.6%,56.0,53.0,76%,64.0,77%,64.0,79%,64.0,83% less,6.0,26% more,88.0,56.0,$92,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,"San Antonio, TX",10.2,94.0,,10.9%,52.0,73.0,52%,26.0,54%,26.0,57%,26.0,14% less,56.0,36% more,96.0,51.0,$107,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"Lexington/Fayette, KY",11.1,100.0,,2.4%,4.0,52.0,66%,48.0,70%,52.0,75%,58.0,6% more,71.0,10% more,76.0,64.0,$71,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"Tampa, FL",4.2,36.0,,7.2%,31.0,34.0,64%,46.0,65%,44.0,68%,45.0,16% more,79.0,41% more,100.0,67.0,$44,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"Chesapeake, VA",7.2,65.0,,27.0%,100.0,83.0,46%,18.0,53%,24.0,54%,23.0,26% less,48.0,18% less,54.0,37.0,$92,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,"Scottsdale, AZ",13.5,100.0,,26.9%,100.0,100.0,40%,8.0,49%,18.0,49%,14.0,36% less,40.0,59% less,22.0,24.0,$116,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,"Anaheim, CA",8.6,78.0,,14.4%,72.0,75.0,67%,50.0,67%,48.0,65%,41.0,91% less,1.0,83% less,3.0,23.0,$128,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,"Wichita, KS",11.3,100.0,,5.1%,19.0,60.0,53%,29.0,61%,37.0,63%,38.0,58% more,100.0,36% more,96.0,68.0,$79,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,"Orlando, FL",3.4,28.0,,5.6%,22.0,25.0,65%,46.0,61%,37.0,64%,38.0,47% less,33.0,26% less,48.0,39.0,$136,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,"Baton Rouge, LA",4.2,36.0,,2.6%,5.0,21.0,54%,30.0,59%,34.0,58%,29.0,24% more,84.0,52% less,27.0,44.0,$114,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,"Arlington, TX",12.6,100.0,,7.9%,35.0,68.0,59%,37.0,60%,35.0,59%,31.0,68% less,17.0,57% less,24.0,27.0,$123,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,"Reno, NV",5.0,43.0,,5.4%,21.0,32.0,76%,64.0,77%,64.0,80%,66.0,80% less,8.0,58% less,22.0,40.0,$56,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,"Houston, TX",4.9,42.0,,12.0%,58.0,50.0,60%,40.0,59%,35.0,59%,30.0,1% less,66.0,33% less,42.0,43.0,$91,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,"Chandler, AZ",8.4,76.0,,3.7%,12.0,44.0,62%,43.0,65%,44.0,61%,35.0,8% more,73.0,6% less,63.0,54.0,$72,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,"Tucson, AZ",6.5,58.0,,4.2%,14.0,36.0,64%,46.0,66%,46.0,68%,47.0,131% more,100.0,36% less,39.0,58.0,$53,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,"Laredo, TX",4.1,35.0,,3.6%,11.0,23.0,53%,28.0,53%,25.0,62%,36.0,486% more,100.0,250% more,100.0,65.0,$54,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,"Corpus Christi, TX",3.3,27.0,,7.0%,30.0,29.0,75%,62.0,77%,63.0,77%,62.0,52% less,29.0,42% less,35.0,47.0,$65,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,"Riverside, CA",11.6,100.0,,7.6%,33.0,67.0,51%,25.0,52%,23.0,54%,22.0,53% less,28.0,22% more,85.0,40.0,$72,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,"Greensboro, NC",5.0,43.0,,10.2%,48.0,46.0,63%,44.0,66%,45.0,68%,46.0,39% less,38.0,43% less,34.0,41.0,$72,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,"Stockton, CA",6.0,53.0,,3.1%,8.0,31.0,75%,62.0,75%,60.0,78%,63.0,32% less,44.0,16% more,80.0,62.0,$19,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,"Los Angeles, CA",4.4,38.0,,13.0%,64.0,51.0,63%,44.0,67%,47.0,68%,47.0,66% less,18.0,70% less,13.0,31.0,$108,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,"Chula Vista, CA",6.9,62.0,,7.8%,35.0,49.0,69%,53.0,69%,51.0,66%,42.0,37% less,40.0,70% less,13.0,37.0,$42,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,"Winston-Salem, NC",10.4,95.0,,4.5%,16.0,56.0,37%,4.0,43%,9.0,46%,8.0,93% more,100.0,86% more,100.0,54.0,$66,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,"Jacksonville, FL",5.6,49.0,,18.0%,93.0,71.0,35%,1.0,38%,1.0,42%,1.0,3% less,65.0,7% more,74.0,35.0,$67,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,"Durham, NC",8.3,76.0,,3.8%,12.0,44.0,51%,25.0,54%,26.0,57%,26.0,70% less,16.0,16% more,81.0,37.0,$88,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,"Charlotte/Mecklenburg, NC",22.3,100.0,,6.4%,27.0,64.0,37%,4.0,39%,2.0,41%,1.0,6% less,63.0,36% more,96.0,41.0,$106,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,"Phoenix, AZ",14.6,100.0,,15.5%,78.0,89.0,50%,23.0,53%,24.0,52%,19.0,46% less,33.0,60% less,21.0,24.0,$88,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,"Bakersfield, CA",9.0,82.0,,5.9%,24.0,53.0,47%,19.0,46%,14.0,47%,11.0,68% less,17.0,35% less,41.0,21.0,$96,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,"Fort Worth, TX",8.7,79.0,,6.0%,25.0,52.0,61%,40.0,62%,40.0,62%,36.0,8% less,61.0,14% less,57.0,49.0,$78,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,"Nashville/Davidson, TN",16.7,100.0,,8.1%,36.0,68.0,46%,18.0,49%,18.0,49%,13.0,1% more,68.0,21% more,84.0,46.0,$52,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,"Glendale, AZ",4.8,41.0,,5.3%,21.0,31.0,75%,62.0,75%,60.0,74%,55.0,64% less,20.0,39% less,37.0,43.0,$51,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,"Gilbert, AZ",7.3,65.0,,3.6%,11.0,38.0,44%,14.0,43%,9.0,44%,5.0,1% less,66.0,38% more,98.0,45.0,$159,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,"Louisville, KY",7.5,68.0,,8.3%,37.0,53.0,39%,6.0,49%,18.0,49%,14.0,68% less,17.0,5% less,64.0,28.0,$75,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,"Lubbock, TX",9.7,89.0,,2.6%,5.0,47.0,55%,31.0,58%,33.0,61%,34.0,24% more,84.0,1% less,67.0,55.0,$45,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,"Garland, TX",9.6,88.0,,8.1%,36.0,62.0,63%,43.0,63%,41.0,61%,34.0,75% less,12.0,82% less,4.0,23.0,$75,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,"Memphis, TN",10.0,92.0,,5.7%,23.0,58.0,47%,18.0,48%,16.0,51%,17.0,11% less,59.0,1% more,69.0,40.0,$70,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,"Hialeah, FL",4.4,38.0,,1.7%,1.0,20.0,68%,51.0,68%,48.0,70%,49.0,57% less,25.0,44% less,33.0,39.0,$50,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,"Santa Ana, CA",6.0,53.0,,3.4%,10.0,32.0,75%,62.0,75%,60.0,76%,60.0,69% less,17.0,70% less,13.0,38.0,$68,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,"Oklahoma City, OK",5.0,43.0,,4.9%,18.0,31.0,43%,13.0,53%,24.0,54%,23.0,294% more,100.0,220% more,100.0,62.0,$74,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"Fresno, CA",2.2,16.0,,4.0%,13.0,15.0,68%,51.0,68%,49.0,66%,43.0,42% less,36.0,41% less,35.0,41.0,$57,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Mesa, AZ",2.8,22.0,,2.9%,7.0,15.0,66%,49.0,71%,53.0,64%,39.0,21% less,52.0,43% less,34.0,45.0,$77,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Irving, TX",3.2,26.0,5.3%,,21.0,24.0,62%,42.0,62%,39.0,60%,33.0,62% less,21.0,56% less,24.0,29.0,$80,35.0,1.2,,7.0,,1.2,42.0,,3.1,45.0,,0.8,,51.0,,0.2,,4.0,,0.8,,28.0,,30,,31.9,"Irving, TX",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n.a.,El Paso,-,,-,,,,-,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,-,,n.a.,El Paso,
n.a.,Fort Wayne,-,,-,,,,-,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,-,,n.a.,Fort Wayne,
n.a.,Indianapolis,-,,-,,,,-,,,,,,,,,,,-,,-,,,,-,,,-,,,-,,,,-,,,,-,,,,-,,n.a.,Indianapolis,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,National Median,5.4,47.0,10%,,45.0,51.0,75%,62.0,75%,60.0,75%,57.0,#NUM!,47.0,#NUM!,45.0,54.0,,,3.4,,44.0,,1.2,44.0,,2.9,40.0,,0.8,,47.0,,1.6,,48.0,,1.3,,48.0,,50,,53.2,National Median,
,National Maximum,22.3,,80%,,,,100%,,100%,,100%,,0.0,,0.0,,,,,17.1,,,,6.7,,,13.7,,,3.1,,,,6.1,,,,12.1,,,,,,84.9,National Maximum,
,National Minimum,0.6,,2%,,,,35%,,38%,,41%,,0.0,,0.0,,,,,0.8,,,,0.0,,,1.0,,,0.1,,,,0.1,,,,0.0,,,,,,34.8,National Minimum,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
