,,,,,,,,,,,,,,,,,,,,,,,,"Dog Parks per 100,000 Residents",,,"Playgrounds per 10,000 Residents",,,"Amenities
Recreation & Senior Centers per 20,000 Residents",,,,"Restrooms per 10,000 Residents",,,,"Splashpads & Spraygrounds per 100,000 Residents",,,,,,,,,
ParkScore® Index 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Acreage,,,,,,Access,,Equity,,,,,,,,,Investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Median Park Size,,,Parkland as Percent of City Area,,,Percent of Residents within a 10-Minute Walk to Park,,% of       within 10-Min Walk to Park,,,,Distribution of park space,,,,,Spending per Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,People of Color,,Low-Income Households,,"Neighborhoods of color have             park space than white
neighborhoods",,Low-income neighborhoods have             park space than high-income neighborhoods,,,,,,"Basketball Hoops per 10,000
Residents",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"Data
3,"Arlington, VA",2.5,19,,11.1%,53,36,99%,99,99%,99,99%,99,36% less,41,32% less,43,71,$359,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Cincinnati, OH",4.2,35,,16.5%,84,60,88%,82,88%,81,88%,80,4% less,64,23% less,50,69,$183,92,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Minneapolis, MN",5.6,49,,15.0%,75,62,98%,98,99%,98,98%,98,60% less,23,65% less,17,59,$317,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Chicago, IL",2.2,16,,10.1%,48,32,98%,98,98%,98,98%,98,13% more,76,31% more,92,91,$182,91,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"San Francisco, CA",1.3,7,,20.6%,100,54,100%,100,100%,100,100%,100,56% less,26,54% less,25,63,$420,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Irvine, CA",6.1,54,,37.4%,100,77,89%,83,89%,83,85%,75,56% less,26,7% less,63,62,$185,93,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Seattle, WA",5.4,47,,12.5%,61,54,99%,99,99%,98,99%,99,16% more,79,33% less,42,80,$325,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"New York, NY",1.0,4,,21.2%,100,52,99%,99,99%,99,99%,100,28% less,47,19% less,53,75,$209,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"Portland, OR",4.9,42,,18.0%,92,67,90%,86,91%,85,92%,87,61% less,22,60% less,21,54,$229,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"Boston, MA",1.4,8,,17.3%,88,48,100%,100,100%,100,100%,100,12% less,58,19% less,53,78,$168,83,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"Madison, WI",4.7,40,,14.2%,71,56,95%,94,95%,93,96%,93,4% more,70,69% less,14,68,$140,68,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"St. Petersburg, FL",3.5,29,,13.6%,67,48,77%,65,82%,72,80%,67,53% more,100,25% more,87,82,$175,87,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"Plano, TX",13.8,100,,10.0%,47,74,77%,65,77%,63,74%,55,1% more,68,35% less,41,57,$219,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"Pittsburgh, PA",2.2,16,,14.0%,70,43,92%,88,92%,87,92%,86,54% less,28,41% less,36,59,$115,54,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"Spokane, WA",5.8,51,,8.6%,39,45,87%,80,88%,81,89%,81,70% less,16,58% less,22,50,$194,98,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"Denver, CO",6.6,59,,8.6%,39,49,89%,84,90%,84,89%,82,18% less,53,26% less,48,67,$151,74,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"St. Louis, MO",2.3,17,,9.7%,45,31,97%,97,97%,96,97%,96,14% less,57,37% less,39,72,$128,61,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"Henderson, NV",5.6,49,,8.0%,36,43,73%,59,73%,57,73%,54,28% less,47,5% more,72,58,$170,85,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"Kansas City, MO",11.7,100,,9.6%,45,73,70%,55,78%,64,76%,60,81% more,100,66% more,100,81,$128,61,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"Fremont, CA",7.0,63,,44.3%,100,82,72%,58,72%,56,73%,54,51% more,100,60% less,21,58,$141,68,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"Cleveland, OH",3.9,33,,6.8%,29,31,83%,75,85%,77,84%,74,3% less,65,1% more,69,71,$151,74,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"Lincoln, NE",7.2,65,,7.1%,31,48,91%,86,91%,86,92%,87,34% less,42,30% less,45,65,$94,42,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"Des Moines, IA",8.9,81,,13.8%,69,75,72%,58,75%,61,72%,53,60% less,23,59% less,21,40,$128,61,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"San Jose, CA",4.2,36,,15.5%,78,57,80%,70,82%,71,80%,67,32% more,91,14% less,57,72,$141,69,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"Atlanta, GA",2.9,23,,6.2%,26,25,77%,65,74%,59,75%,57,48% less,32,33% less,42,48,$206,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"Milwaukee, WI",4.2,35,,9.7%,46,41,90%,86,91%,86,91%,85,70% less,16,57% less,23,53,$124,59,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"San Diego, CA",6.8,61,,19.4%,100,81,81%,72,82%,72,83%,72,67% less,18,86% less,1,41,$143,70,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"Baltimore, MD",0.8,3,,9.6%,45,24,88%,82,89%,83,89%,82,26% more,86,the same,68,80,$139,67,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"Sacramento, CA",5.4,47,,10.9%,52,50,84%,76,84%,75,82%,70,61% less,23,30% less,45,53,$112,53,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"Philadelphia, PA",3.1,25,,13.0%,64,45,95%,93,96%,93,95%,92,28% less,46,42% less,35,67,$73,31,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"Aurora, CO",7.4,67,,10.8%,52,60,87%,80,89%,83,88%,79,64% less,20,52% less,27,52,$159,78,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"Albuquerque, NM",3.0,24,,28.8%,100,62,91%,86,90%,85,89%,82,26% less,48,49% less,30,61,$75,32,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"Buffalo, NY",1.1,5,,9.4%,44,25,89%,84,91%,86,90%,83,53% less,28,21% less,52,62,$107,49,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"Jersey City, NJ",0.6,1,,11.8%,57,29,97%,97,97%,96,98%,97,4% less,64,3% more,70,82,$74,31,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"Boise, ID",7.3,65,,8.4%,38,52,65%,46,64%,42,70%,50,78% less,10,67% less,15,29,$190,96,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"New Orleans, LA",1.8,12,,21.3%,100,56,80%,70,77%,64,81%,68,46% less,33,37% less,39,51,$123,59,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"Austin, TX",6.7,60,,10.8%,52,56,70%,54,70%,52,71%,51,28% less,47,59% less,22,43,$178,89,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"Oakland, CA",2.1,15,,14.8%,75,45,89%,84,91%,85,92%,87,66% less,19,78% less,7,50,$111,52,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"Virginia Beach, VA",5.0,44,,16.4%,83,64,68%,51,70%,52,70%,49,34% less,42,45% less,32,44,$150,74,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"Long Beach, CA",2.6,20,,10.1%,47,34,84%,76,85%,77,88%,81,86% less,4,86% less,1,41,$147,72,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"Honolulu, HI",6.1,54,,17.8%,91,73,71%,57,74%,58,79%,64,34% less,42,3% more,70,59,$98,45,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"Las Vegas, NV",1.1,6,,18.0%,92,49,75%,62,77%,63,74%,57,6% more,71,42% less,35,57,$67,28,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"Richmond, VA",4.7,40,,6.9%,30,35,80%,70,80%,68,82%,70,216% more,100,85% more,100,85,$81,35,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"Omaha, NE",6.7,60,,13.2%,65,63,82%,73,84%,74,81%,68,22% less,51,59% less,22,54,$69,28,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"Newark, NJ",0.9,3,,6.1%,25,14,94%,91,94%,90,96%,94,45% more,100,35% more,95,95,$74,31,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"Miami, FL",2.6,20,,6.5%,27,24,87%,81,87%,79,88%,80,32% less,43,45% less,33,59,$98,44,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,"Toledo, OH",5.7,50,,5.9%,24,37,81%,72,87%,79,84%,73,144% more,100,113% more,100,88,$77,33,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"Raleigh, NC",6.2,55,,12.9%,64,60,48%,21,48%,16,51%,17,16% less,55,28% less,46,34,$176,88,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"Norfolk, VA",2.4,18,,5.4%,21,20,75%,62,75%,60,83%,72,46% more,100,15% more,80,78,$66,27,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"Anchorage, AK",4.7,40,,80.3%,100,70,75%,62,80%,68,82%,69,55% less,27,47% less,31,49,$91,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"Dallas, TX",7.8,70,,9.6%,45,58,73%,59,73%,57,72%,52,40% more,96,5% less,64,67,$109,51,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,"North Las Vegas, NV",7.1,64,,25.9%,100,82,62%,42,64%,43,66%,42,13% more,77,14% more,79,60,$86,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,"Columbus, OH",7.5,67,,10.0%,47,57,71%,57,73%,56,73%,55,4% more,70,25% less,48,57,$95,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,"Tulsa, OK",9.7,89,,6.9%,29,59,65%,47,69%,50,71%,50,21% more,83,12% more,77,65,$85,37,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,"Detroit, MI",2.4,18,,5.8%,24,21,83%,75,83%,74,84%,73,42% less,36,58% more,100,71,$82,36,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,"Colorado Springs, CO",5.7,50,,11.6%,56,53,76%,64,77%,64,79%,64,83% less,6,26% more,88,56,$92,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,"San Antonio, TX",10.2,94,,10.9%,52,73,52%,26,54%,26,57%,26,14% less,56,36% more,96,51,$107,49,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"Lexington/Fayette, KY",11.1,100,,2.4%,4,52,66%,48,70%,52,75%,58,6% more,71,10% more,76,64,$71,29,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"Tampa, FL",4.2,36,,7.2%,31,34,64%,46,65%,44,68%,45,16% more,79,41% more,100,67,$44,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"Chesapeake, VA",7.2,65,,27.0%,100,83,46%,18,53%,24,54%,23,26% less,48,18% less,54,37,$92,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,"Scottsdale, AZ",13.5,100,,26.9%,100,100,40%,8,49%,18,49%,14,36% less,40,59% less,22,24,$116,55,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,"Anaheim, CA",8.6,78,,14.4%,72,75,67%,50,67%,48,65%,41,91% less,1,83% less,3,23,$128,61,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,"Wichita, KS",11.3,100,,5.1%,19,60,53%,29,61%,37,63%,38,58% more,100,36% more,96,68,$79,34,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,"Orlando, FL",3.4,28,,5.6%,22,25,65%,46,61%,37,64%,38,47% less,33,26% less,48,39,$136,66,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,"Baton Rouge, LA",4.2,36,,2.6%,5,21,54%,30,59%,34,58%,29,24% more,84,52% less,27,44,$114,54,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,"Arlington, TX",12.6,100,,7.9%,35,68,59%,37,60%,35,59%,31,68% less,17,57% less,24,27,$123,58,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,"Reno, NV",5.0,43,,5.4%,21,32,76%,64,77%,64,80%,66,80% less,8,58% less,22,40,$56,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,"Houston, TX",4.9,42,,12.0%,58,50,60%,40,59%,35,59%,30,1% less,66,33% less,42,43,$91,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,"Chandler, AZ",8.4,76,,3.7%,12,44,62%,43,65%,44,61%,35,8% more,73,6% less,63,54,$72,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,"Tucson, AZ",6.5,58,,4.2%,14,36,64%,46,66%,46,68%,47,131% more,100,36% less,39,58,$53,19,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,"Laredo, TX",4.1,35,,3.6%,11,23,53%,28,53%,25,62%,36,486% more,100,250% more,100,65,$54,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,"Corpus Christi, TX",3.3,27,,7.0%,30,29,75%,62,77%,63,77%,62,52% less,29,42% less,35,47,$65,26,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,"Riverside, CA",11.6,100,,7.6%,33,67,51%,25,52%,23,54%,22,53% less,28,22% more,85,40,$72,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,"Greensboro, NC",5.0,43,,10.2%,48,46,63%,44,66%,45,68%,46,39% less,38,43% less,34,41,$72,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,"Stockton, CA",6.0,53,,3.1%,8,31,75%,62,75%,60,78%,63,32% less,44,16% more,80,62,$19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,"Los Angeles, CA",4.4,38,,13.0%,64,51,63%,44,67%,47,68%,47,66% less,18,70% less,13,31,$108,50,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,"Chula Vista, CA",6.9,62,,7.8%,35,49,69%,53,69%,51,66%,42,37% less,40,70% less,13,37,$42,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,"Winston-Salem, NC",10.4,95,,4.5%,16,56,37%,4,43%,9,46%,8,93% more,100,86% more,100,54,$66,27,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,"Jacksonville, FL",5.6,49,,18.0%,93,71,35%,1,38%,1,42%,1,3% less,65,7% more,74,35,$67,27,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,"Durham, NC",8.3,76,,3.8%,12,44,51%,25,54%,26,57%,26,70% less,16,16% more,81,37,$88,39,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,"Charlotte/Mecklenburg, NC",22.3,100,,6.4%,27,64,37%,4,39%,2,41%,1,6% less,63,36% more,96,41,$106,49,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,"Phoenix, AZ",14.6,100,,15.5%,78,89,50%,23,53%,24,52%,19,46% less,33,60% less,21,24,$88,39,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,"Bakersfield, CA",9.0,82,,5.9%,24,53,47%,19,46%,14,47%,11,68% less,17,35% less,41,21,$96,44,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,"Fort Worth, TX",8.7,79,,6.0%,25,52,61%,40,62%,40,62%,36,8% less,61,14% less,57,49,$78,33,,,,,,,,,,,,,,,,,,,,,,,,,,,
